mainstem,head,out,provider
2302667,7731497,7733853,2
2302693,7733181,7732261,2
2302945,7731717,7733919,2
2302949,7734123,7733841,2
2303121,25077342,7734453,2
2303602,7734187,7734457,2
2303281,7734183,7737521,2
2303971,4599357,4600031,2
2304234,4599551,166196264,2
2303985,4599921,4600043,2
2303968,4600137,25068048,2
2304015,4599411,4599981,2
2304021,4599553,4599377,2
2304280,4599053,166196253,2
2304016,4600125,4599997,2
2304054,4599819,4599821,2
2101573,4590599,4588722,2
2104867,22303277,6232986,2
2105455,22303041,22307177,2
2106703,22304995,22304607,2
2107338,22304945,22304557,2
2107170,22302883,22304141,2
2106613,22304183,22304829,2
2107028,22304971,22304293,2
2105822,22302917,22306545,2
2106919,22302867,22303387,2
2108017,22303379,22305457,2
2107036,22305507,22306449,2
2105588,22306755,22305621,2
2106705,22305713,22306515,2
2105795,22307823,22306555,2
2107038,22306345,22306731,2
2107037,22305901,22306641,2
2107535,22305999,22306655,2
2107351,22306027,22304865,2
2106808,22306889,22304895,2
2107759,22305043,22304909,2
2107186,22307725,22307199,2
2106809,22305033,22304393,2
2107027,22304947,22304095,2
2107169,22304241,22304783,2
2107333,22307231,22307219,2
2107049,22297022,22297130,2
2105176,22294244,22294808,2
2106039,22294496,22297302,2
2106001,22294090,22297002,2
2106460,22294488,22294464,2
2105575,22296226,22297110,2
2105964,22295638,22297220,2
2106211,22296550,22297296,2
2105476,22294852,22297374,2
2106795,22294846,22297516,2
2107202,22295762,22295904,2
2107514,22296388,22294828,2
2107511,22296652,22297550,2
2107372,22296902,22296416,2
2105419,22290915,22290461,2
2107043,22290135,22290493,2
2107765,22290061,22290535,2
2107545,22290233,22290139,2
2109350,22290251,22290373,2
2106621,22290599,22289943,2
2108794,22289903,22290333,2
2108798,22288535,22289897,2
2113217,22288117,22288341,2
2105890,22287921,22291939,2
2108041,22288139,22288043,2
2108368,22288079,22288319,2
2113249,22287973,22288273,2
2108371,22287903,22288257,2
2109352,22288221,22287981,2
2110157,22288211,22288227,2
2110165,22288525,22288253,2
2107550,22287977,22288381,2
2117037,22288233,22288233,2
2106079,22288243,22288461,2
2107549,22289441,22288127,2
2107360,22289927,22290505,2
2111327,22290055,22290007,2
2110147,22288215,22288399,2
2110159,22288347,22290443,2
2110131,22287885,932020138,2
2109358,22288317,22288323,2
2107769,22288537,22288115,2
2104982,22742217,22744301,2
2107137,22744679,22744295,2
2106375,22740613,22745841,2
2106151,22740527,22752097,2
2105615,22740291,22752105,2
2106884,22740377,22740535,2
2105452,22741741,22752103,2
2107701,22740421,22741107,2
2106108,22741839,22740369,2
2106446,22741057,22740433,2
2105117,22738137,22752133,2
2105818,22741805,22743749,2
2106263,22741793,22739853,2
2107160,22741749,22741247,2
2106068,22741701,22741223,2
2107007,22738205,22739411,2
2106687,22743593,22743783,2
2108675,22743609,22742583,2
2105916,22742919,22743971,2
2105343,22746489,22743929,2
2106205,22746389,22743035,2
2107713,22746339,22743933,2
2107011,22746479,22743947,2
